aktor_id,aktor,kandidatstatus,aktorstyp,geografisk_niva,radighetsniva,radighetsstatus,rader_i_kalldata,fysiska_noder,observerade_tjanster,mojlig_roll_i_fas1,formellt_ansvar,kallreferens,kallstatus,kontaktstatus,databehov,nasta_steg
A-PKT-BRING,Bring,Observerad i källdata; kandidat till datadialog,Paket-/serviceaktör i källdata,"Nod, kommun och län",Potentiellt direkt operativ,Kandidat – behöver verifieras per aktör och plats,83,81,Ombud; Paketbox/skåp,"Verifiera nät, förändringar, volymer, leveransfrekvens och beslutskriterier",Ej kartlagt; förekomst i källdata visar inte formellt ansvar,"Servicepunkter_2026_Dalarna.xlsx, blad sp2026",Aktörsförekomst och tjänster belagda; mandat och ansvar ej verifierade,Ej kontaktad,Historik per plats; hotade noder; faktisk volym eller zon; kontaktperson,"Verifiera kontaktperson, mandat, datadelning och vilka beslut aktören kan påverka"
A-PKT-BUSSGODS,Bussgods,Observerad i källdata; kandidat till datadialog,Paket-/serviceaktör i källdata,"Nod, kommun och län",Potentiellt direkt operativ,Kandidat – behöver verifieras per aktör och plats,6,6,Ombud,"Verifiera nät, förändringar, volymer, leveransfrekvens och beslutskriterier",Ej kartlagt; förekomst i källdata visar inte formellt ansvar,"Servicepunkter_2026_Dalarna.xlsx, blad sp2026",Aktörsförekomst och tjänster belagda; mandat och ansvar ej verifierade,Ej kontaktad,Historik per plats; hotade noder; faktisk volym eller zon; kontaktperson,"Verifiera kontaktperson, mandat, datadelning och vilka beslut aktören kan påverka"
A-PKT-DHL,DHL,Observerad i källdata; kandidat till datadialog,Paket-/serviceaktör i källdata,"Nod, kommun och län",Potentiellt direkt operativ,Kandidat – behöver verifieras per aktör och plats,77,76,Egen regi; Ombud; Paketbox/skåp,"Verifiera nät, förändringar, volymer, leveransfrekvens och beslutskriterier",Ej kartlagt; förekomst i källdata visar inte formellt ansvar,"Servicepunkter_2026_Dalarna.xlsx, blad sp2026",Aktörsförekomst och tjänster belagda; mandat och ansvar ej verifierade,Ej kontaktad,Historik per plats; hotade noder; faktisk volym eller zon; kontaktperson,"Verifiera kontaktperson, mandat, datadelning och vilka beslut aktören kan påverka"
A-PKT-IBOXEN,Iboxen,Observerad i källdata; kandidat till datadialog,Paket-/serviceaktör i källdata,"Nod, kommun och län",Potentiellt direkt operativ,Kandidat – behöver verifieras per aktör och plats,8,8,Paketbox/skåp,"Verifiera nät, förändringar, volymer, leveransfrekvens och beslutskriterier",Ej kartlagt; förekomst i källdata visar inte formellt ansvar,"Servicepunkter_2026_Dalarna.xlsx, blad sp2026",Aktörsförekomst och tjänster belagda; mandat och ansvar ej verifierade,Ej kontaktad,Historik per plats; hotade noder; faktisk volym eller zon; kontaktperson,"Verifiera kontaktperson, mandat, datadelning och vilka beslut aktören kan påverka"
A-PKT-INSTABEE,Instabee,Observerad i källdata; kandidat till datadialog,Paket-/serviceaktör i källdata,"Nod, kommun och län",Potentiellt direkt operativ,Kandidat – behöver verifieras per aktör och plats,98,98,Paketbox/skåp,"Verifiera nät, förändringar, volymer, leveransfrekvens och beslutskriterier",Ej kartlagt; förekomst i källdata visar inte formellt ansvar,"Servicepunkter_2026_Dalarna.xlsx, blad sp2026",Aktörsförekomst och tjänster belagda; mandat och ansvar ej verifierade,Ej kontaktad,Historik per plats; hotade noder; faktisk volym eller zon; kontaktperson,"Verifiera kontaktperson, mandat, datadelning och vilka beslut aktören kan påverka"
A-PKT-POSTNORD,PostNord,Observerad i källdata; kandidat till datadialog,Paket-/serviceaktör i källdata,"Nod, kommun och län",Potentiellt direkt operativ,Kandidat – behöver verifieras per aktör och plats,123,112,Egen regi; Ombud; Paketbox/skåp; Utlämning,"Verifiera nät, förändringar, volymer, leveransfrekvens och beslutskriterier",Ej kartlagt; förekomst i källdata visar inte formellt ansvar,"Servicepunkter_2026_Dalarna.xlsx, blad sp2026",Aktörsförekomst och tjänster belagda; mandat och ansvar ej verifierade,Ej kontaktad,Historik per plats; hotade noder; faktisk volym eller zon; kontaktperson,"Verifiera kontaktperson, mandat, datadelning och vilka beslut aktören kan påverka"
A-PKT-SCHENKER,Schenker,Observerad i källdata; kandidat till datadialog,Paket-/serviceaktör i källdata,"Nod, kommun och län",Potentiellt direkt operativ,Kandidat – behöver verifieras per aktör och plats,70,70,Ombud,"Verifiera nät, förändringar, volymer, leveransfrekvens och beslutskriterier",Ej kartlagt; förekomst i källdata visar inte formellt ansvar,"Servicepunkter_2026_Dalarna.xlsx, blad sp2026",Aktörsförekomst och tjänster belagda; mandat och ansvar ej verifierade,Ej kontaktad,Historik per plats; hotade noder; faktisk volym eller zon; kontaktperson,"Verifiera kontaktperson, mandat, datadelning och vilka beslut aktören kan påverka"
A-PKT-TVV,TVV,Observerad i källdata; kandidat till datadialog,Paket-/serviceaktör i källdata,"Nod, kommun och län",Potentiellt direkt operativ,Kandidat – behöver verifieras per aktör och plats,13,13,Butik (stöd),"Verifiera nät, förändringar, volymer, leveransfrekvens och beslutskriterier",Ej kartlagt; förekomst i källdata visar inte formellt ansvar,"Servicepunkter_2026_Dalarna.xlsx, blad sp2026",Aktörsförekomst och tjänster belagda; mandat och ansvar ej verifierade,Ej kontaktad,Historik per plats; hotade noder; faktisk volym eller zon; kontaktperson,"Verifiera kontaktperson, mandat, datadelning och vilka beslut aktören kan påverka"
A-PKT-UPS,UPS,Observerad i källdata; kandidat till datadialog,Paket-/serviceaktör i källdata,"Nod, kommun och län",Potentiellt direkt operativ,Kandidat – behöver verifieras per aktör och plats,9,9,Ombud,"Verifiera nät, förändringar, volymer, leveransfrekvens och beslutskriterier",Ej kartlagt; förekomst i källdata visar inte formellt ansvar,"Servicepunkter_2026_Dalarna.xlsx, blad sp2026",Aktörsförekomst och tjänster belagda; mandat och ansvar ej verifierade,Ej kontaktad,Historik per plats; hotade noder; faktisk volym eller zon; kontaktperson,"Verifiera kontaktperson, mandat, datadelning och vilka beslut aktören kan påverka"
A-KAND-001,Region Dalarna,Omnämnd i projektunderlag; kandidat till verifiering,Regional offentlig aktör,Län,Potentiellt regionalt strategisk och samordnande,Ej verifierad i projektet,0,0,,"RUS, regional analys, kommersiell service och samordning",Ej fastställt; kandidatrollen visar inte formellt ansvar,Uppdragsbeskrivning 2026-03-26,Beställarroll belagd; specifikt mandat och operativ rådighet ej verifierade,Ej kontaktad,Ansvarig funktion; regionala underlag; beslut och program,"Bekräfta ansvarig funktion, mandat och beslutspunkter"
